2026-09-10 16:36:22 | INFO    | zip_pipeline | Extraction started: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113
2026-09-10 16:36:25 | INFO    | zip_pipeline | Extraction completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 16:36:26 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
2026-09-10 16:36:28 | INFO    | zip_pipeline | Nested ZIP extraction completed: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
2026-09-10 16:36:38 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\TMF_CERES.zip
2026-09-10 16:36:43 | INFO    | zip_pipeline | Nested ZIP extraction completed: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\TMF_CERES.zip
2026-09-10 16:36:43 | INFO    | zip_pipeline | Reported extraction: study=PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113 before=2 after=103
2026-09-10 16:36:44 | INFO    | zip_pipeline | Transfer report: job=J000001 study=PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113 src_docs=2 dest_docs=103 src_size=681133608 dest_size=58819127
2026-09-10 16:36:44 | INFO    | zip_pipeline | Archive completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Archive\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 16:36:44 | INFO    | zip_pipeline | Snapshot refreshed for 1 studies
2026-09-10 16:40:18 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 16:44:18 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 16:48:18 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 16:52:18 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 16:55:45 | INFO    | zip_pipeline | Shutting down ZIP pipeline scheduler
2026-09-10 16:56:00 | INFO    | zip_pipeline | Starting ZIP pipeline scheduler (scan=4 min, report=60 min, source=C:\Users\ADas155\QuIn\POC\Source)
2026-09-10 16:56:00 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 16:56:02 | INFO    | zip_pipeline | ZIP detected: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 16:56:05 | INFO    | zip_pipeline | Extraction started: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113
2026-09-10 16:56:07 | INFO    | zip_pipeline | Extraction completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 16:56:08 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
2026-09-10 16:56:11 | INFO    | zip_pipeline | Nested ZIP extraction completed: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
2026-09-10 16:56:15 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\TMF_CERES.zip
2026-09-10 16:56:21 | INFO    | zip_pipeline | Nested ZIP extraction completed: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\TMF_CERES.zip
2026-09-10 16:56:21 | INFO    | zip_pipeline | Reported extraction: study=PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113 before=2 after=103
2026-09-10 16:56:23 | ERROR   | zip_pipeline | Failed to update transfer report for PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip: [Errno 13] Permission denied: 'C:\\Users\\ADas155\\QuIn\\POC\\Destination\\transfer_report.xlsx'
2026-09-10 16:56:23 | INFO    | zip_pipeline | Archive completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Archive\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 16:56:23 | INFO    | zip_pipeline | Snapshot refreshed for 1 studies
2026-09-10 17:00:00 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 17:02:23 | INFO    | zip_pipeline | Shutting down ZIP pipeline scheduler
2026-09-10 17:03:33 | INFO    | zip_pipeline | Starting ZIP pipeline scheduler (scan=4 min, report=60 min, source=C:\Users\ADas155\QuIn\POC\Source)
2026-09-10 17:03:33 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 17:03:35 | INFO    | zip_pipeline | ZIP detected: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 17:03:37 | INFO    | zip_pipeline | Extraction started: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113
2026-09-10 17:03:40 | INFO    | zip_pipeline | Extraction completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 17:03:41 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
2026-09-10 17:03:44 | INFO    | zip_pipeline | Nested ZIP extraction completed: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
2026-09-10 17:03:53 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\TMF_CERES.zip
2026-09-10 17:03:58 | INFO    | zip_pipeline | Nested ZIP extraction completed: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\TMF_CERES.zip
2026-09-10 17:03:59 | INFO    | zip_pipeline | Reported extraction: study=PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113 before=2 after=103
2026-09-10 17:04:00 | INFO    | zip_pipeline | Transfer report: job=J000001 study=PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113 src_docs=929 dest_docs=103 src_size=737744644 dest_size=58819127
2026-09-10 17:04:00 | INFO    | zip_pipeline | Archive completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Archive\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 17:04:00 | INFO    | zip_pipeline | Snapshot refreshed for 1 studies
2026-09-10 17:07:33 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 17:11:33 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 17:15:33 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 17:19:04 | INFO    | zip_pipeline | Shutting down ZIP pipeline scheduler
2026-09-10 17:19:43 | INFO    | zip_pipeline | Starting ZIP pipeline scheduler (scan=4 min, report=60 min, source=C:\Users\ADas155\QuIn\POC\Source)
2026-09-10 17:19:43 | INFO    | zip_pipeline | Scanning source folder: C:\Users\ADas155\QuIn\POC\Source
2026-09-10 17:19:45 | INFO    | zip_pipeline | ZIP detected: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 17:19:49 | INFO    | zip_pipeline | Extraction started: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip -> C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113
2026-09-10 17:19:51 | INFO    | zip_pipeline | Extraction completed: PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113.zip
2026-09-10 17:19:52 | INFO    | zip_pipeline | Nested ZIP extraction started: C:\Users\ADas155\QuIn\POC\Destination\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze__20260910_163113\PU456_QMPS_GCPAr_FTP_CRO_Transfer_CNTO1959PSO4021_Evidenze\SMF_CERES.zip
